date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Feb%202022%2008:01:25%20GMT	http://localhost/wp/hawk	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/hawk.0.delayed	(from )
15:01:26	296/296	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Feb%202022%2008:01:25%20GMT	http://localhost/robots.txt		(from )
15:01:28	65326/65326	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Feb%202022%2008:01:25%20GMT	http://localhost/wp/hawk/	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/hawk/index.html	(from )
15:01:28	79227/79227	---M--	200	added ('OK')	text/css	etag:%221357b-5d545ddab3d00%22	http://localhost/wp/wp-includes/css/dist/block-library/style.min.css?ver=5.9	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/wp-includes/css/dist/block-library/style.min271b.css	(from http://localhost/wp/hawk/)
15:01:30	1652/1652	---M--	200	added ('OK')	application/rss+xml	etag:%2221e6661081c83e2aa54231e5787557e3%22	http://localhost/wp/comments/feed/	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/comments/feed/index.html	(from http://localhost/wp/hawk/)
15:01:30	476/476	---M--	200	added ('OK')	text/css	etag:%221dc-5d779a44334c2%22	http://localhost/wp/wp-content/plugins/animated-typing-effect/assets/css/cursor.css?ver=5.9	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/wp-content/plugins/animated-typing-effect/assets/css/cursor271b.css	(from http://localhost/wp/hawk/)
15:01:30	1937/1937	---M--	200	added ('OK')	application/rss+xml	etag:%22f71eecb166e5984192769215a7895907%22	http://localhost/wp/feed/	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/feed/index.html	(from http://localhost/wp/hawk/)
15:01:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Feb%202022%2008:01:29%20GMT	http://s.w.org/	C:/My%20Web%20Sites/indonesianhawk/s.w.org/index.html	(from http://localhost/wp/hawk/)
15:01:30	13158/13158	---M--	200	added ('OK')	text/css	etag:%223366-5d780bce4b24d%22	http://localhost/wp/wp-content/plugins/wp-night-mode/public/css/wp-night-mode-public.css?ver=1.0.0	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/wp-content/plugins/wp-night-mode/public/css/wp-night-mode-public8a54.css	(from http://localhost/wp/hawk/)
15:01:30	156389/156389	---M--	200	added ('OK')	text/css	etag:%22262e5-5d62d48a1f800%22	http://localhost/wp/wp-content/themes/twentytwentyone/style.css?ver=1.5	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/wp-content/themes/twentytwentyone/style7ef2.css	(from http://localhost/wp/hawk/)
15:01:32	2897/2897	---M--	200	added ('OK')	text/css	etag:%22b51-5b3ed2fda25c0%22	http://localhost/wp/wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.5	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/wp-content/themes/twentytwentyone/assets/css/print7ef2.css	(from http://localhost/wp/hawk/)
15:01:32	19050/19050	---M--	200	added ('OK')	text/css	etag:%224a6a-5d779ac92570a%22	http://localhost/wp/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.14.0	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine900.css	(from http://localhost/wp/hawk/)
15:01:33	98820/98820	---M--	200	added ('OK')	text/css	etag:%2218204-5d779ac7bb7f5%22	http://localhost/wp/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.5.5	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/wp-content/plugins/elementor/assets/css/frontend-lite.mina25a.css	(from http://localhost/wp/hawk/)
15:01:34	946/946	---M--	200	added ('OK')	text/css	etag:%223b2-5d779d8b677c4%22	http://localhost/wp/wp-content/uploads/elementor/css/post-7.css?ver=1644293210	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/wp-content/uploads/elementor/css/post-7f92f.css	(from http://localhost/wp/hawk/)
15:01:34	127275/127275	---M--	200	added ('OK')	text/css	etag:%221f12b-5d779a84eb3fc%22	http://localhost/wp/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.5.2	C:/My%20Web%20Sites/indonesianhawk/localhost/wp/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min49eb.css	(from http://localhost/wp/hawk/)
